id_usuario_atendio,fecha_hora_registro,observacion,observacion_conductor,valoracion,valoracion_conductor,CalificacionClientes,ComentarioConductor
22903,2022-08-01 05:55:28, Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
18657,2022-08-01 05:57:47, Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
23219,2022-08-01 05:57:49,No llegó  , ,5,,Negativo,Neutral
22683,2022-08-01 05:57:24,   Viaje agradable, ,1,0.0,Positivo,Neutral
15147,2022-08-01 05:57:55,   Atento y cordial  Puntualidad, ,1,0.0,Positivo,Neutral
24494,2022-08-01 05:59:52,Estaba en otra dirección,Solicito mal,0,0.0,Neutral,Neutral
17066,2022-08-01 05:59:21, Viaje agradable  Puntualidad, ,1,1.0,Positivo,Neutral
17974,2022-08-01 06:01:42,   Atento y cordial  Viaje agradable  Puntualidad, ,1,1.0,Positivo,Neutral
25214,2022-08-01 06:03:02,   Puntualidad, ,1,0.0,Neutral,Neutral
20245,2022-08-01 06:02:51,   Que cobre lo justo, ,3,0.0,Negativo,Neutral
12994,2022-08-01 06:04:33,fffzz   Nunca llegó,No contesta ni sale el cliente ,5,0.0,Negativo,Neutral
28417,2022-08-01 06:01:21,   Que cobre lo justo, ,3,,Negativo,Neutral
4772,2022-08-01 06:00:25, Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
26459,2022-08-01 06:04:26,Excelente  , ,0,0.0,Positivo,Neutral
14738,2022-08-01 06:03:10,   Atento y cordial, ,1,0.0,Positivo,Neutral
18328,2022-08-01 06:04:47,No llego ,No Puedo Poner Que Estoy Con El Cliente ,5,0.0,Negativo,Neutral
28478,2022-08-01 06:07:20,   Atento y cordial  Viaje agradable  Puntualidad  Wifi/carga de celulares  Servicio de llamadas, ,1,0.0,Positivo,Neutral
19164,2022-08-01 06:06:55,Excelente  , ,0,1.0,Positivo,Neutral
27748,2022-08-01 06:07:17, Puntualidad, ,1,0.0,Neutral,Neutral
29447,2022-08-01 06:07:56,   Puntualidad, ,1,0.0,Neutral,Neutral
29383,2022-08-01 06:07:06,Utilizó ruta que duplico el tiempo de llegada de forma innecesaria , ,5,0.0,Negativo,Neutral
19848,2022-08-01 06:05:51, Viaje agradable, ,1,1.0,Positivo,Neutral
11000,2022-08-01 06:06:57,Super buena  , ,2,0.0,Positivo,Neutral
10439,2022-08-01 06:08:08,   Atento y cordial  Viaje agradable, ,1,0.0,Positivo,Neutral
23540,2022-08-01 06:08:36,   Atento y cordial  Viaje agradable  Puntualidad  Wifi/carga de celulares  Servicio de llamadas, ,1,0.0,Positivo,Neutral
29441,2022-08-01 06:09:31,   Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
28171,2022-08-01 06:11:19,   Puntualidad, ,1,1.0,Neutral,Neutral
21642,2022-08-01 06:10:28,Nunca llego    Nunca llegó, ,5,0.0,Negativo,Neutral
3373,2022-08-01 06:12:28,Cancelada por Call Center., ,0,0.0,Negativo,Neutral
6580,2022-08-01 06:10:55,   Atento y cordial, ,1,1.0,Positivo,Neutral
16542,2022-08-01 06:11:54,   Puntualidad, ,1,0.0,Neutral,Neutral
26284,2022-08-01 06:10:52,   Puntualidad, ,1,0.0,Neutral,Neutral
24289,2022-08-01 06:10:00, Atento y cordial, ,1,1.0,Positivo,Neutral
2524,2022-08-01 06:12:24,   Atento y cordial, ,1,0.0,Positivo,Neutral
25545,2022-08-01 06:12:49,   Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
24342,2022-08-01 06:14:29,   Atento y cordial, ,1,0.0,Positivo,Neutral
23000,2022-08-01 06:14:49, Puntualidad, ,1,0.0,Neutral,Neutral
14285,2022-08-01 06:15:18,no llego el taxi , ,0,,Negativo,Neutral
789,2022-08-01 06:16:22, Puntualidad, ,1,0.0,Neutral,Neutral
3633,2022-08-01 06:16:47,   Puntualidad, ,1,1.0,Neutral,Neutral
837,2022-08-01 06:15:49, Puntualidad, ,1,0.0,Neutral,Neutral
28070,2022-08-01 06:18:10,Está muy lejos la unidad,Estubo mal la ubicacion,0,0.0,Negativo,Neutral
16753,2022-08-01 06:19:14,Ya no viajo, ,0,5.0,Neutral,Neutral
28212,2022-08-01 06:20:15,Exelente , ,0,1.0,Positivo,Neutral
8585,2022-08-01 06:20:29,   Viaje agradable, ,1,0.0,Positivo,Neutral
11672,2022-08-01 06:20:41,Pésimo servicio    Actitud desagradable, ,5,3.0,Negativo,Neutral
15150,2022-08-01 06:04:35,   Puntualidad, ,1,0.0,Neutral,Neutral
25678,2022-08-01 06:21:26,   Viaje agradable, ,1,0.0,Positivo,Neutral
20616,2022-08-01 06:20:49,   Atento y cordial, ,1,1.0,Positivo,Neutral
26582,2022-08-01 06:21:39,Buen servicio , ,0,0.0,Positivo,Neutral
20074,2022-08-01 06:23:47,   Puntualidad, ,1,1.0,Neutral,Neutral
10926,2022-08-01 06:24:15,   Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
29446,2022-08-01 06:24:32,Buena , ,0,,Positivo,Neutral
18366,2022-08-01 06:25:11,   Atento y cordial  Viaje agradable  Puntualidad, ,1,,Positivo,Neutral
10279,2022-08-01 06:25:51,Cancelo    Canceló solicitud, ,5,,Negativo,Neutral
12123,2022-08-01 06:26:02,   Viaje agradable  Puntualidad, ,1,,Positivo,Neutral
4767,2022-08-01 06:26:25,Buen servicio, ,0,0.0,Positivo,Neutral
15723,2022-08-01 06:27:10,   Puntualidad, ,1,0.0,Neutral,Neutral
19451,2022-08-01 06:27:07, Atento y cordial  Viaje agradable  Puntualidad, ,1,1.0,Positivo,Neutral
18306,2022-08-01 06:27:22,   Puntualidad, ,1,0.0,Neutral,Neutral
11396,2022-08-01 06:27:38,   Atento y cordial, ,1,,Positivo,Neutral
25487,2022-08-01 06:27:50,   Atento y cordial, ,1,0.0,Positivo,Neutral
23504,2022-08-01 06:21:16, Puntualidad, ,1,1.0,Neutral,Neutral
25804,2022-08-01 06:29:28,   Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
11787,2022-08-01 06:29:48,   Atento y cordial, ,1,0.0,Positivo,Neutral
2996,2022-08-01 06:30:48,   Viaje agradable, ,1,0.0,Positivo,Neutral
28097,2022-08-01 06:31:35, Atento y cordial, ,1,1.0,Positivo,Neutral
18781,2022-08-01 06:32:26, Llevó otro cliente  Nunca llegó, ,5,0.0,Negativo,Neutral
16968,2022-08-01 06:32:11,Excelente  , ,0,0.0,Positivo,Neutral
24295,2022-08-01 06:32:43,la unidad no llegó y se porta grosero y patan la peor experiencia , ,0,0.0,Negativo,Neutral
28472,2022-08-01 06:32:24,   Atento y cordial, ,1,0.0,Positivo,Neutral
18467,2022-08-01 06:31:48,   Atento y cordial, ,1,1.0,Positivo,Neutral
27493,2022-08-01 06:33:21,   Atento y cordial  Viaje agradable  Puntualidad, ,1,1.0,Positivo,Neutral
19227,2022-08-01 06:33:13,Cancelada por Call Center., ,0,0.0,Negativo,Neutral
24908,2022-08-01 06:33:45,No tiene cambio, ,0,0.0,Neutral,Neutral
24704,2022-08-01 06:34:23,no llego porque la dirección le indicó mal, ,0,,Negativo,Neutral
27196,2022-08-01 06:34:35,Bien gracias , ,0,0.0,Positivo,Neutral
21789,2022-08-01 06:34:27,   Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
20336,2022-08-01 06:34:58,Buena , ,0,0.0,Positivo,Neutral
18534,2022-08-01 06:34:47,Najzbzjskajaj, ,0,0.0,Neutral,Neutral
20414,2022-08-01 06:35:33,   Atento y cordial  Viaje agradable  Puntualidad, ,1,1.0,Positivo,Neutral
3424,2022-08-01 06:36:06,   Atento y cordial,Muy amable ,1,3.0,Positivo,Neutral
8336,2022-08-01 06:36:04,Mal , ,0,0.0,Negativo,Neutral
25155,2022-08-01 06:35:27,   Atento y cordial  Viaje agradable  Puntualidad, ,1,1.0,Positivo,Neutral
19451,2022-08-01 06:37:00, Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
